"","sample_id","var","y","y_hat","split"
"31","Calu-6","Lapatinib",0.0577505101954974,0.0344016700983047,"test"
"32","NEC8","Lapatinib",0.0107560456186029,0.0541384667158127,"test"
"33","OPM-2","Lapatinib",0.0264645459461558,0.0533118546009064,"test"
"34","CAL-148","Lapatinib",0.0308937848023181,0.0923738703131676,"test"
"35","Onda 11","Lapatinib",NA,0.0369029939174652,"test"
"36","HCC1143","Lapatinib",0.105604630815105,0.148785442113876,"test"
"37","BC-3","Lapatinib",NA,0.0463146045804024,"test"
"38","RCM-1 [Human rectum adenocarcinoma]","Lapatinib",0.134707717983781,0.082223005592823,"test"
"39","NCI-H508","Lapatinib",NA,0.222310766577721,"test"
"40","LCLC-103H","Lapatinib",0.0305713031240624,0.050021156668663,"test"
"41","NCI-H716","Lapatinib",0,0.0291993021965027,"test"
"42","NCI-H23","Lapatinib",0.0028057513201686,0.077341116964817,"test"
"43","LNCaP clone FGC","Lapatinib",0.113995222849244,0.0606473833322525,"test"
"44","UACC-257","Lapatinib",0.0032931303933649,0.05257398635149,"test"
"45","KE-37","Lapatinib",0.162277036811841,0.0996929779648781,"test"
"46","SW1783","Lapatinib",0.0607886694688706,0.0629924833774567,"test"
"47","LA-N-6","Lapatinib",NA,0.0424993447959423,"test"
"48","SNU-475","Lapatinib",NA,0.0773155987262726,"test"
"49","BHT-101","Lapatinib",0.0898155973712009,0.0372886136174202,"test"
"50","CMK","Lapatinib",NA,0.0563403218984604,"test"
"51","HPAF-II","Lapatinib",0.040879026617338,0.0990339368581772,"test"
"52","NUGC-3","Lapatinib",0.201198031262588,0.256907433271408,"test"
"53","DU4475","Lapatinib",0.154771039194479,0.0497451424598694,"test"
"54","COLO 205","Lapatinib",0.025044651056274,0.0561047196388245,"test"
"55","Karpas-299","Lapatinib",0.0153185046354307,0.0391023084521294,"test"
"56","NCI-H2126","Lapatinib",NA,0.161389768123627,"test"
"57","HT","Lapatinib",NA,0.0838016197085381,"test"
"58","NB4","Lapatinib",NA,0.0688502267003059,"test"
"59","NCI-N87","Lapatinib",0.590550268923727,0.457258641719818,"test"
"60","U2OS","Lapatinib",0.0331040389708059,0.112436637282372,"test"
"61","TE-11","Lapatinib",NA,0.188601985573769,"test"
"62","NCI-H520","Lapatinib",0.0130827967935996,0.0598320811986923,"test"
"63","IST-Mes1","Lapatinib",0.0519078134118575,0.0438724011182785,"test"
"64","NCI-H2030","Lapatinib",NA,0.134653389453888,"test"
"65","SK-N-MC-IXC","Lapatinib",NA,0.086515299975872,"test"
"66","NCI-H2227","Lapatinib",NA,0.0891116112470627,"test"
"67","SCC-25","Lapatinib",NA,0.209319576621056,"test"
"68","Ca9-22","Lapatinib",0.328840366990968,0.157128110527992,"test"
"69","SW837","Lapatinib",0.061087968025751,0.101652607321739,"test"
"70","DoTc2 4510","Lapatinib",0.160736634569498,0.0758772343397141,"test"
"71","MDA-MB-468","Lapatinib",0.181128023191625,0.232301652431488,"test"
"72","OAW28","Lapatinib",0.0242639390877288,0.165664255619049,"test"
"73","NCI-H1437","Lapatinib",NA,0.185549676418304,"test"
"74","RS4;11","Lapatinib",0.0132698180649123,0.103299245238304,"test"
"75","ES7","Lapatinib",0.150663042288589,0.0462057441473007,"test"
"76","THP-1","Lapatinib",NA,0.0657633543014526,"test"
"77","GCIY","Lapatinib",0.157680418843145,0.168356850743294,"test"
"78","NCI-H2052","Lapatinib",0.0110730343929227,0.070794589817524,"test"
"79","NCI-H2170","Lapatinib",0.47234525711075,0.348872005939484,"test"
"80","KNS-62","Lapatinib",0.0655093229013612,0.117878645658493,"test"
"81","TCCSUP","Lapatinib",0,0.0381476283073425,"test"
"82","HL-60","Lapatinib",0.0867877755302759,0.0852742940187454,"test"
"83","Kuramochi","Lapatinib",0.0706228080901469,0.0650124549865723,"test"
"84","Kasumi-1","Lapatinib",NA,0.0886092931032181,"test"
"85","NCI-H1792","Lapatinib",0.08582833283775,0.0649277791380882,"test"
"86","MEG-01","Lapatinib",0.013176563473966,0.0512147173285484,"test"
"87","RPMI-8402","Lapatinib",0.242094304870589,0.0558602102100849,"test"
"88","HT-1197","Lapatinib",0.0011042837295584,0.103855319321156,"test"
"89","GI-ME-N","Lapatinib",0.0358311460280233,0.119720861315727,"test"
"90","HCC1954","Lapatinib",0.109561879472279,0.301355421543121,"test"
"91","SaOS-2","Lapatinib",0.0380027008924374,0.0542076751589775,"test"
"92","8-MG-BA","Lapatinib",0.075192762372186,0.0653139352798462,"test"
"93","GR-ST","Lapatinib",0.111119869025821,0.0854937732219696,"test"
"94","NY","Lapatinib",0.0082607731434473,0.0510785356163979,"test"
"95","MC-1010","Lapatinib",NA,0.0688311457633972,"test"
"96","NCI-H1573","Lapatinib",0.0338434895476158,0.200878828763962,"test"
"97","C2BBe1","Lapatinib",0.095525931340118,0.127370476722717,"test"
"98","OE19","Lapatinib",0.510798397399402,0.22064097225666,"test"
"99","A-204","Lapatinib",0.0095917729130573,0.0898432061076164,"test"
"100","HEL","Lapatinib",NA,0.0708536803722382,"test"
"101","NCI-H1975","Lapatinib",0.0675697597934293,0.0551780834794044,"test"
"102","HuCC-T1","Lapatinib",0.178734875500363,0.119893148541451,"test"
"103","Daoy","Lapatinib",0.0094355570882541,0.0848821550607681,"test"
"104","HN","Lapatinib",NA,0.125160306692123,"test"
"105","MeWo","Lapatinib",0.0809047362562082,0.0675057768821716,"test"
"106","NCI-H1703","Lapatinib",0.0865342278775271,0.0450943037867546,"test"
"107","HCT 116","Lapatinib",0.0397612598840966,0.0477449707686901,"test"
"108","SK-MES-1","Lapatinib",0.162812461866561,0.108908027410507,"test"
"109","VMRC-MELG","Lapatinib",NA,0.0831614136695862,"test"
"110","HD-MY-Z","Lapatinib",0.0982339951526761,0.0671969726681709,"test"
"111","NCI-H2342","Lapatinib",0.0073011887829907,0.324854016304016,"test"
"112","P12-Ichikawa","Lapatinib",0.120224021257792,0.0637242645025253,"test"
"113","SJNB-17","Lapatinib",NA,0.046264935284853,"test"
"114","HLE","Lapatinib",0.0349718051865031,0.0580379739403725,"test"
"115","HCC1806","Lapatinib",0.147618255196053,0.0933485478162766,"test"
"116","NCI-H1395","Lapatinib",NA,0.202972292900085,"test"
"117","DJM-1","Lapatinib",NA,0.293379575014114,"test"
"118","IMR-5","Lapatinib",0.030357909390551,0.112204119563103,"test"
"119","MOLT-16","Lapatinib",0.0935163476625312,0.0963943898677826,"test"
"120","NCI-H64","Lapatinib",0.0230580535724813,0.0453183427453041,"test"
"121","NKM-1","Lapatinib",0.0720939823670569,0.0783009976148605,"test"
"122","Jiyoye","Lapatinib",0.0842470530161752,0.0765237510204315,"test"
"123","RT-112","Lapatinib",0.0930531462559332,0.0694072991609573,"test"
"124","RPMI-6666","Lapatinib",0.109566792858937,0.0722970888018608,"test"
"125","KALS-1","Lapatinib",0.0440376546153095,0.0649151802062988,"test"
"126","NCI-H1304","Lapatinib",NA,0.0632919892668724,"test"
"127","SCC-9","Lapatinib",0.168152270191463,0.185763537883759,"test"
"128","NCI-H510A","Lapatinib",NA,0.0768294036388397,"test"
"129","MOLT-4","Lapatinib",0.0398030108399176,0.0860413312911987,"test"
"130","GT3TKB","Lapatinib",NA,0.0360059551894665,"test"
"131","RD","Lapatinib",0.0904473830670381,0.0592147745192051,"test"
"132","D-566MG","Lapatinib",NA,0.102902323007584,"test"
"133","DEL","Lapatinib",0.0881345521364493,0.0418292060494423,"test"
"134","J82","Lapatinib",0.0126073921878311,0.0609037205576897,"test"
"135","NCI-H1651","Lapatinib",0.0139550589263585,0.0474307090044022,"test"
"136","SW872","Lapatinib",0.0931159423045245,0.0563453510403633,"test"
"137","LB771-HNC","Lapatinib",0.0087723507298257,0.167199015617371,"test"
"138","ACN","Lapatinib",NA,0.0546771176159382,"test"
"139","LS1034","Lapatinib",0.0791787354098089,0.0718466266989708,"test"
"140","IM-9","Lapatinib",0.170794214963712,0.0725499987602234,"test"
"141","SJNB-6","Lapatinib",NA,0.0675749331712723,"test"
"142","YAPC","Lapatinib",0.0731126998654342,0.0254507903009653,"test"
"143","CRO-AP2","Lapatinib",NA,0.0763871297240257,"test"
"144","EB3 [Human Burkitt lymphoma]","Lapatinib",0.116074591596646,0.0954035744071007,"test"
"145","LP-1","Lapatinib",NA,0.0524816177785397,"test"
"146","EW-24","Lapatinib",0.0489135583575455,0.0668143182992935,"test"
"147","NCI-H1436","Lapatinib",NA,0.0756848156452179,"test"
"148","A3/Kawakami","Lapatinib",0.118516588335176,0.0642887577414513,"test"
"149","EB2","Lapatinib",0.116925579573459,0.0635886564850807,"test"
"150","KY821","Lapatinib",0.070475241597115,0.0899407565593719,"test"
"151","OCI-AML-2","Lapatinib",0.127600640282518,0.0826514214277267,"test"
"152","Rh30","Lapatinib",0.0054593811657201,0.0845789313316345,"test"
"153","A-253","Lapatinib",0.131917108631111,0.212990790605545,"test"
"154","Lu-65","Lapatinib",0.0975154543724694,0.0478088557720184,"test"
"155","U-251MG","Lapatinib",0.0142932412402062,0.118773639202118,"test"
"156","SNU-1","Lapatinib",0.0207559272049663,0.0610310435295105,"test"
"157","HuP-T4","Lapatinib",0.0343161818867852,0.0530484765768051,"test"
"158","BFTC-905","Lapatinib",0.118889064859226,0.23257851600647,"test"
"159","C-33 A","Lapatinib",0.143746999187892,0.0876780226826668,"test"
"160","RF-48","Lapatinib",0,0.0655316114425659,"test"
"161","BEN","Lapatinib",NA,0.0912836641073227,"test"
"162","KGN","Lapatinib",0.0975988188317289,0.0593058988451958,"test"
"163","KM12","Lapatinib",0.0429820009390036,0.179524019360542,"test"
"164","SiMa","Lapatinib",0.0237044077801295,0.0548288971185684,"test"
"165","SK-N-DZ","Lapatinib",0.0969300803892117,0.0334147475659847,"test"
"166","LB831-BLC","Lapatinib",0.0073801460670689,0.0468054264783859,"test"
"167","MSTO-211H","Lapatinib",0.199263354503819,0.0889745503664017,"test"
"168","COR-L23","Lapatinib",0.0947445901888557,0.0210784450173378,"test"
"169","BT-549","Lapatinib",0.085356553572675,0.0880206078290939,"test"
"170","HSC-3","Lapatinib",0.1774824260019,0.146884143352509,"test"
"171","NCI-H1666","Lapatinib",0.364775909210491,0.312924653291702,"test"
"172","SW1710","Lapatinib",0.104264477492131,0.107678979635239,"test"
"173","769-P","Lapatinib",0.240343881457095,0.232400417327881,"test"
"174","NCI-H810","Lapatinib",0.0295756243799065,0.100393995642662,"test"
"175","RERF-LC-MS","Lapatinib",NA,0.0498281978070736,"test"
"176","CGTH-W-1","Lapatinib",0.0102981033762943,0.0627898424863815,"test"
"177","SW948","Lapatinib",0.005367563854687,0.149555757641792,"test"
"178","TGBC24TKB","Lapatinib",0.239909125939942,0.191101208329201,"test"
"179","SK-MEL-28","Lapatinib",NA,0.0467434301972389,"test"
"180","HT-3","Lapatinib",0.095028707660969,0.241140216588974,"test"
"181","UMC-11","Lapatinib",0.0661128921713896,0.0681917741894722,"test"
"182","LoVo","Lapatinib",0.229763826187974,0.132812589406967,"test"
"183","NCI-H358","Lapatinib",0.225288810247166,0.205771178007126,"test"
"184","BL-41","Lapatinib",0.0800212745089433,0.0940399542450905,"test"
"185","EW-7","Lapatinib",0.177109796862903,0.0620179250836372,"test"
"186","KYSE-450","Lapatinib",0.304263414511534,0.261102437973022,"test"
"187","BT-20","Lapatinib",0.101720136390126,0.153537005186081,"test"
"188","KNS-81-FD","Lapatinib",NA,0.094381220638752,"test"
"189","NCI-H1155","Lapatinib",0.0309962788458565,0.0427514500916004,"test"
"190","BB49-HNC","Lapatinib",0.0951570122101549,0.0696683675050735,"test"
"191","CaR-1","Lapatinib",0.159326438285578,0.210747539997101,"test"
"192","EM-2","Lapatinib",0.0380855783413928,0.0561025068163872,"test"
"193","KINGS-1","Lapatinib",0.0088137197900782,0.076809786260128,"test"
"194","MHH-NB-11","Lapatinib",NA,0.0712712705135345,"test"
"195","697","Lapatinib",0.137428182295224,0.116801783442497,"test"
"196","VM-CUB-1","Lapatinib",0.0382369582410457,0.164823651313782,"test"
"197","LB2241-RCC","Lapatinib",NA,0.142522156238556,"test"
"198","5637","Lapatinib",0.177509820190085,0.191086381673813,"test"
"199","SNU-449","Lapatinib",0.149484125951667,0.0986311808228493,"test"
"200","RPMI-2650","Lapatinib",NA,0.109849117696285,"test"
"201","SKG-IIIa","Lapatinib",0.139601144479773,0.179949432611465,"test"
"202","HH [Human lymphoma]","Lapatinib",0.0759192813228995,0.065232902765274,"test"
"203","PFSK-1","Lapatinib",0.0501702882416159,0.0470020771026611,"test"
"204","A4/Fukuda","Lapatinib",0.105331632008156,0.0587221384048462,"test"
"205","COLO 679","Lapatinib",0,0.0713079944252968,"test"
"206","COLO 680N","Lapatinib",0.0641309651304849,0.11904127150774,"test"
"207","KYSE-180","Lapatinib",0.136347725104194,0.276897013187408,"test"
"208","KP-N-RT-BM-1","Lapatinib",NA,0.0643549412488937,"test"
"209","GaMG","Lapatinib",0.0361411339466697,0.0710181295871735,"test"
"210","TE-6","Lapatinib",0.343715877926458,0.317704379558563,"test"
"211","MDA-MB-361","Lapatinib",0.215766118585537,0.258606195449829,"test"
"212","NCI-H1838","Lapatinib",0.0436724034443179,0.0715362280607224,"test"
"213","TT","Lapatinib",0.0848903782730019,0.143166869878769,"test"
"214","ARH-77","Lapatinib",0.0938993662037801,0.0802396684885025,"test"
"215","NOS-1 [Human osteosarcoma]","Lapatinib",0.101243087581109,0.0595858544111252,"test"
"216","DMS 273","Lapatinib",0.0605949485448318,0.0452689602971077,"test"
"217","COLO 678","Lapatinib",0.116117694304233,0.162953436374664,"test"
"218","IST-MEL1","Lapatinib",0.0403427500647399,0.0668266117572784,"test"
"219","SF126","Lapatinib",NA,0.0617677308619022,"test"
"220","SW780","Lapatinib",0.0266501385438731,0.184671640396118,"test"
"221","TALL-1 [Human adult T-ALL]","Lapatinib",NA,0.064251184463501,"test"
"222","HSC-4","Lapatinib",0.201485796741787,0.179376125335693,"test"
"223","KATO III","Lapatinib",0.0515000849168337,0.078561045229435,"test"
"224","T24","Lapatinib",NA,0.0419292226433754,"test"
"225","TK-10","Lapatinib",0.148849111804551,0.122950300574303,"test"
"226","SF539","Lapatinib",0.0293424544737215,0.0721913352608681,"test"
"227","TYK-nu","Lapatinib",0.0242482002923779,0.0368345566093922,"test"
"228","EKVX","Lapatinib",NA,0.148738831281662,"test"
"229","CHP-212","Lapatinib",0.0146606517934216,0.0495228804647923,"test"
"230","SCC-4","Lapatinib",0.0594574298889996,0.0983821749687195,"test"
"231","Detroit 562","Lapatinib",0.208764763059766,0.13274347782135,"test"
"232","NCI-H747","Lapatinib",0.205096010436154,0.0575545318424702,"test"
"233","NCI-H1105","Lapatinib",NA,0.0594070665538311,"test"
"234","BB65-RCC","Lapatinib",NA,0.0851925015449524,"test"
"235","A-704","Lapatinib",0.0635334577085759,0.0937971621751785,"test"
"236","TGBC1TKB","Lapatinib",0.112428825373188,0.19607762992382,"test"
"237","HT-144","Lapatinib",0.0782694944769084,0.0412626378238201,"test"
"238","SU-DHL-1","Lapatinib",NA,0.0484114587306976,"test"
"239","SW982","Lapatinib",0.023881253245072,0.0704686716198921,"test"
"240","U-87MG ATCC","Lapatinib",0.0154726891808247,0.0527210831642151,"test"
"241","HCC2998","Lapatinib",0.0696433844744374,0.141327828168869,"test"
"242","EFM-19","Lapatinib",0.111273484314508,0.138365715742111,"test"
"243","NCI-H1563","Lapatinib",0.0420535995117181,0.0660488605499268,"test"
"244","Caov-3","Lapatinib",NA,0.0782950669527054,"test"
"245","K5","Lapatinib",0.0587388066992965,0.0575829334557056,"test"
"246","ST486","Lapatinib",0.115500721026758,0.0871871262788773,"test"
"247","Capan-2","Lapatinib",0.12721211959649,0.0311296805739403,"test"
"248","SK-MM-2","Lapatinib",0.0064621145776318,0.100100919604301,"test"
"249","PA-1","Lapatinib",0.0827683146362719,0.077002689242363,"test"
"250","SW626","Lapatinib",0.0161507925234233,0.0201619062572718,"test"
"251","NOMO-1","Lapatinib",0.0479026256349393,0.0715622082352638,"test"
"252","HOP-62","Lapatinib",0.0100357979936076,0.0634421706199646,"test"
"253","NCI-H2081","Lapatinib",NA,0.0635830610990524,"test"
"254","BALL-1","Lapatinib",0.145042549430511,0.0840474516153336,"test"
"255","U266B1","Lapatinib",0.211243007804705,0.06208835542202,"test"
"256","MFM-223","Lapatinib",0.0493732624592755,0.0984050258994102,"test"
"257","KNS-42","Lapatinib",NA,0.0609483122825623,"test"
"258","OE33","Lapatinib",0.149106784897149,0.170559614896774,"test"
"259","SW1573","Lapatinib",0,0.0380221009254456,"test"
"260","DG-75","Lapatinib",0.0786967480723371,0.0894057005643845,"test"
"261","YH-13","Lapatinib",0.0699791403332835,0.0662988871335983,"test"
"262","639V","Lapatinib",0.0276751747830614,0.0355024747550488,"test"
"263","AsPC-1","Lapatinib",0.0840364851946567,0.0521788969635963,"test"
"264","ME-180","Lapatinib",0.249902715897124,0.244077324867249,"test"
"265","T84","Lapatinib",0.0843334822862663,0.0590903535485268,"test"
"266","SiHa","Lapatinib",0.0133596968795006,0.0312757641077042,"test"
"267","MRK-nu-1","Lapatinib",0.0434000977875679,0.184181213378906,"test"
"268","KYSE-70","Lapatinib",0.0947072568870947,0.179033726453781,"test"
"269","SW684","Lapatinib",0.0200132479293205,0.0576044358313084,"test"
"270","NCI-H378","Lapatinib",NA,0.105334036052227,"test"
"271","SW962","Lapatinib",NA,0.101122826337814,"test"
"272","EGI-1","Lapatinib",0.0360478689215497,0.052668321877718,"test"
"273","NCI-H2009","Lapatinib",0.0334597624743368,0.0659386813640594,"test"
"274","Mel JuSo","Lapatinib",0.0063029286924124,0.0477557778358459,"test"
"275","NCI-H226","Lapatinib",0.0116300388495238,0.0940108448266983,"test"
"276","NH-12","Lapatinib",0.011709332792827,0.0608443096280098,"test"
"277","NCI-H526","Lapatinib",0,0.0518739782273769,"test"
"278","WM115","Lapatinib",0.0062200664991945,0.077019214630127,"test"
"279","DMS 114","Lapatinib",0.0738323747341348,0.0453550294041634,"test"
"280","Karpas-45","Lapatinib",0.128467600446163,0.0616616010665894,"test"
"281","MKN1","Lapatinib",0.163667900940102,0.0960111320018768,"test"
"282","MZ-MEL-7","Lapatinib",NA,0.0309470538049936,"test"
"283","SUP-B8","Lapatinib",NA,0.12085497379303,"test"
"284","A-498","Lapatinib",0.0724595379640315,0.0807187929749489,"test"
"285","NCI-H727","Lapatinib",0.0280045694236013,0.0380711257457733,"test"
"286","C32 [Human melanoma]","Lapatinib",0.0077983791389459,0.0344902500510216,"test"
"287","EW-1","Lapatinib",0.102659617271593,0.0595871433615685,"test"
"288","NCI-H146","Lapatinib",NA,0.0662757754325867,"test"
"289","IA-LM","Lapatinib",0.0604298943399034,0.0822098404169083,"test"
"290","DK-MG","Lapatinib",0.0426942069503949,0.0776926651597023,"test"
"291","HAL-01","Lapatinib",0.0904906145917322,0.108131855726242,"test"
"292","8505C","Lapatinib",0.0058431258695733,0.0805106610059738,"test"
"293","HT-1376","Lapatinib",0.178005937281568,0.0765054076910019,"test"
"294","H4","Lapatinib",0.0398732210262573,0.0529471375048161,"test"
"295","COR-L88","Lapatinib",0.0324754226916096,0.0540900379419327,"test"
"296","HCC2157","Lapatinib",0.329387101062325,0.149596333503723,"test"
"297","CAL-27","Lapatinib",0.199495228292432,0.273741126060486,"test"
"298","EW-22","Lapatinib",0.189237600512675,0.0630728974938393,"test"
"299","MKN45","Lapatinib",0.0508387356720598,0.165266901254654,"test"
"300","NCI-H1693","Lapatinib",0.0829762980761641,0.16346663236618,"test"
"301","KYSE-510","Lapatinib",NA,0.140016958117485,"test"
"302","U-118MG","Lapatinib",0.0326354001963054,0.0677282884716988,"test"
"303","NCI-H460","Lapatinib",NA,0.0558139607310295,"test"
"304","GMS-10","Lapatinib",NA,0.0615720339119434,"test"
"305","Becker","Lapatinib",0.0045685275066204,0.0745862573385239,"test"
"306","NCI-H1793","Lapatinib",0.035316989046725,0.141847938299179,"test"
"307","SUP-T1","Lapatinib",0.121421763417675,0.0811832994222641,"test"
"308","SW48","Lapatinib",0.431095265509917,0.329098463058472,"test"
"309","Caki-1","Lapatinib",NA,0.0808151736855507,"test"
"310","CESS","Lapatinib",0.0208208876464218,0.0660445168614388,"test"
"311","NCI-H1048","Lapatinib",0.0017402514223711,0.0923458412289619,"test"
"312","HEC-1","Lapatinib",0.003537699598482,0.0434265322983265,"test"
"313","LB996-RCC","Lapatinib",0.245819503107203,0.0614868104457855,"test"
"314","MG-63","Lapatinib",0.0313786048870869,0.0660934150218964,"test"
"315","MES-SA","Lapatinib",0.053311156155366,0.0682218819856644,"test"
"316","KP-4","Lapatinib",0.0056327508320672,0.0460661128163338,"test"
"317","MOG-G-UVW","Lapatinib",0.0273944471588039,0.0849843844771385,"test"
"318","SW1417","Lapatinib",0.0960979849816645,0.0627683252096176,"test"
"319","CFPAC-1","Lapatinib",0.0679527644691995,0.0890048444271088,"test"
"320","SJNB-12","Lapatinib",0.0886994553819015,0.0438200868666172,"test"
"321","Caov-4","Lapatinib",0.143025411941695,0.081736721098423,"test"
"322","RXF 393L","Lapatinib",NA,0.0988520979881287,"test"
"323","LB1047-RCC","Lapatinib",NA,0.0627600103616714,"test"
"324","D-502MG","Lapatinib",NA,0.0540647208690643,"test"
"325","SW900","Lapatinib",0.0587227047172443,0.0355541110038757,"test"
"326","SJNB-7","Lapatinib",0.0070742036089559,0.11044916510582,"test"
"327","COLO 800","Lapatinib",NA,0.0476810857653618,"test"
"328","DMS 53","Lapatinib",0.0010898199442571,0.0862792208790779,"test"
"329","NCI-H2228","Lapatinib",0.0062116143416733,0.0763104632496834,"test"
"330","COR-L105","Lapatinib",0.436431199901063,0.132211089134216,"test"
"331","HuTu 80","Lapatinib",NA,0.186763525009155,"test"
"332","RL","Lapatinib",NA,0.0750831812620163,"test"
"333","SK-LMS-1","Lapatinib",0.0195314687743633,0.0511230230331421,"test"
"334","SNU-C2B","Lapatinib",0.13094739600667,0.120401851832867,"test"
"335","AGS","Lapatinib",0.0219092096875042,0.157610774040222,"test"
"336","D-336MG","Lapatinib",NA,0.0680913552641869,"test"
"337","ACHN","Lapatinib",0.205475669256941,0.104349508881569,"test"
"338","OCUB-M","Lapatinib",0.320898933927605,0.242319107055664,"test"
"339","OMC-1 [Human cervical carcinoma]","Lapatinib",NA,0.225978031754494,"test"
"340","RVH-421","Lapatinib",NA,0.0810385718941689,"test"
"341","MHH-CALL-2","Lapatinib",0.0509948528537272,0.107976034283638,"test"
"342","SJNB-5","Lapatinib",NA,0.0505861267447472,"test"
"343","HCC1187","Lapatinib",0.0169348166355342,0.0968389362096786,"test"
"344","NALM-6","Lapatinib",0.0897232334890387,0.113944321870804,"test"
"345","KU-19-19","Lapatinib",0.0470415550613374,0.0740171000361443,"test"
"346","NCI-H82","Lapatinib",0.0777111586943535,0.0666519924998283,"test"
"347","CCRF-CEM","Lapatinib",0.156523067971949,0.0979912579059601,"test"
"348","SNU-16","Lapatinib",0.129295003573581,0.0856957882642746,"test"
"349","Ca Ski","Lapatinib",0.229165175322501,0.159820377826691,"test"
"350","MDA-MB-453","Lapatinib",0.288061454052589,0.307364016771317,"test"
"351","SF268","Lapatinib",0.030501809008565,0.0564422011375427,"test"
"352","SNU-423","Lapatinib",0.012398500245924,0.0784779936075211,"test"
"353","SJNB-10","Lapatinib",0.0612006058674526,0.0457060225307941,"test"
"354","SK-UT-1","Lapatinib",0.0165628811944863,0.0566208586096764,"test"
"355","SJNB-14","Lapatinib",0.098236638159415,0.0482256934046745,"test"
"356","GP5d","Lapatinib",0.0158826288597954,0.173034161329269,"test"
"357","BHY","Lapatinib",NA,0.179252088069916,"test"
"358","SW403","Lapatinib",NA,0.0617836862802505,"test"
"359","U-698-M","Lapatinib",0.127764592260805,0.0696194171905518,"test"
"360","ABC-1","Lapatinib",NA,0.187338978052139,"test"
"361","A101D","Lapatinib",0.0577689907899724,0.0484682433307171,"test"
"362","SNG-M","Lapatinib",0.0394328147427676,0.0913788825273514,"test"
"363","HCC1395","Lapatinib",0.0932245111561132,0.0892253816127777,"test"
"364","HCC2218","Lapatinib",0.457516530001268,0.314843535423279,"test"
"365","HMV-II","Lapatinib",0.115852547357958,0.0491942130029202,"test"
"366","A-673","Lapatinib",0.0217881855073444,0.064546711742878,"test"
"367","HA7-RCC","Lapatinib",NA,0.0881188213825226,"test"
"368","PC-3","Lapatinib",0.01403345813381,0.0504436194896698,"test"
"369","P30/OHK","Lapatinib",0.0203367641405939,0.131849303841591,"test"
"370","NCI-H2405","Lapatinib",0.0741691442074386,0.100942768156528,"test"
"371","L-428","Lapatinib",0.0698754321399497,0.0460154637694359,"test"
"372","BC-1","Lapatinib",0.247418940677721,0.0724967047572136,"test"
"373","NCI-H596","Lapatinib",0,0.0582238286733627,"test"
"374","OVCAR-3","Lapatinib",0.0277733463186303,0.0917457342147827,"test"
"375","SW1990","Lapatinib",0.0768688250929729,0.145109847187996,"test"
"376","LN-405","Lapatinib",0,0.0679398477077484,"test"
"377","UACC-62","Lapatinib",0.0539139753185203,0.103101298213005,"test"
"378","TE-8","Lapatinib",0.151105240814656,0.1083073168993,"test"
"379","NCI-H209","Lapatinib",0.0207934921024909,0.115129679441452,"test"
"380","BxPC-3","Lapatinib",0.147653090571424,0.246095031499863,"test"
"381","CHL-1","Lapatinib",0.236626038471938,0.209822028875351,"test"
"382","EW-12","Lapatinib",NA,0.075872890651226,"test"
"383","MHH-PREB-1","Lapatinib",0.0870321210679636,0.0956357941031456,"test"
